who : 596
what : 546
name : 144
first : 82
president : 61
which : 54
us : 46
company : 44
wrote : 38
world : 37
invented : 33
famous : 32
tv : 27
two : 26
team : 25
movie : 24
made : 24
character : 24
baseball : 24
actor : 23
star : 22
said : 22
portrayed : 22
new : 22
american : 22
actress : 21
played : 20
show : 19
king : 18
called : 18
whose : 17
man : 17
woman : 16
leader : 16
when : 15
war : 15
named : 15
known : 15
created : 15
play : 14
people : 14
father : 14
became : 14
york : 13
lawyer : 13
killed : 13
college : 13
randy : 12
names : 12
last : 12
group : 12
following : 12
craft : 12
person : 11
one : 11
nickname : 11
major : 11
league : 11
largest : 11
general : 11
comedian : 11
title : 10
time : 10
song : 10
organization : 10
minister : 10
john : 10
died : 10
book : 10
university : 9
son : 9
role : 9
prime : 9
nn : 9
mother : 9
member : 9
film : 9
director : 9
county : 9
business : 9
best : 9
author : 9
starred : 8
south : 8
singer : 8
school : 8
record : 8
radio : 8
queen : 8
player : 8
part : 8
married : 8
girl : 8
game : 8
football : 8
department : 8
comic : 8
british : 8
battle : 8
america : 8
years : 7
writer : 7
william : 7
white : 7
united : 7
top : 7
titled : 7
times : 7
super : 7
store : 7
space : 7
soviet : 7
singing : 7
shot : 7
secretary : 7
russian : 7
real : 7
police : 7
poet : 7
original : 7
house : 7
home : 7
hit : 7
great : 7
founded : 7
female : 7
english : 7
dick : 7
common : 7
claimed : 7
charles : 7
cartoon : 7
basketball : 7
1984 : 7
west : 6
went : 6
washington : 6
used : 6
tom : 6
three : 6
television : 6
story : 6
steven : 6
seven : 6
prize : 6
peter : 6
painted : 6
nixon : 6
muppets : 6
mayor : 6
may : 6
makes : 6
lives : 6
little : 6
japanese : 6
international : 6
host : 6
henry : 6
head : 6
games : 6
french : 6
four : 6
food : 6
dead : 6
dc : 6
city : 6
born : 6
black : 6
band : 6
would : 5
watergate : 5
voice : 5
ventura : 5
states : 5
spanish : 5
served : 5
second : 5
san : 5
rotary : 5
richest : 5
represented : 5
prophet : 5
profession : 5
producer : 5
presidents : 5
party : 5
occupation : 5
night : 5
never : 5
miss : 5
marvel : 5
magna : 5
love : 5
line : 5
life : 5
kind : 5
ii : 5
husband : 5
held : 5
greek : 5
good : 5
god : 5
get : 5
gave : 5
friend : 5
former : 5
five : 5
ever : 5
england : 5
elected : 5
directed : 5
declared : 5
days : 5
day : 5
creator : 5
council : 5
computer : 5
composer : 5
cocaine : 5
coach : 5
charlie : 5
carta : 5
captain : 5
california : 5
built : 5
boy : 5
bowl : 5
year : 4
yankee : 4
work : 4
without : 4
win : 4
williams : 4
wild : 4
use : 4
tried : 4
told : 4
ten : 4
strip : 4
stole : 4
started : 4
spumante : 4
