what : 554
where : 258
country : 123
city : 101
state : 65
world : 62
us : 60
find : 52
largest : 44
name : 32
river : 26
countries : 26
which : 25
located : 25
capital : 25
first : 24
two : 23
live : 22
highest : 22
information : 20
get : 20
mountain : 19
states : 18
island : 18
american : 17
america : 17
south : 15
home : 15
boasts : 15
airport : 15
cities : 13
called : 13
park : 12
new : 12
european : 12
address : 12
united : 11
ocean : 11
north : 11
internet : 11
sea : 10
place : 10
originate : 10
born : 10
take : 9
longest : 9
contains : 9
when : 8
war : 8
street : 8
people : 8
one : 8
oldest : 8
nationality : 8
museum : 8
miles : 8
famed : 8
continent : 8
come : 8
college : 8
building : 8
best : 8
website : 7
point : 7
planet : 7
named : 7
lake : 7
kentucky : 7
islands : 7
horse : 7
headquarters : 7
found : 7
email : 7
east : 7
desert : 7
center : 7
castle : 7
california : 7
bill : 7
biggest : 7
asian : 7
web : 6
tallest : 6
square : 6
southern : 6
president : 6
part : 6
near : 6
national : 6
mozambique : 6
mccarren : 6
list : 6
known : 6
king : 6
go : 6
built : 6
area : 6
africa : 6
york : 5
town : 5
top : 5
three : 5
st : 5
site : 5
served : 5
rivers : 5
reims : 5
procter : 5
population : 5
online : 5
london : 5
lakes : 5
international : 5
gulf : 5
great : 5
good : 5
george : 5
gamble : 5
earth : 5
covers : 5
call : 5
bridge : 5
bowl : 5
bay : 5
would : 4
water : 4
washington : 4
visit : 4
university : 4
thomas : 4
system : 4
surrounds : 4
star : 4
song : 4
size : 4
sites : 4
setting : 4
see : 4
san : 4
russian : 4
range : 4
pollock : 4
poe : 4
peak : 4
orange : 4
olympics : 4
nickname : 4
mountains : 4
mount : 4
mississippi : 4
mark : 4
man : 4
lyrics : 4
logan : 4
location : 4
john : 4
japanese : 4
jackson : 4
four : 4
forest : 4
five : 4
england : 4
dubbed : 4
caribbean : 4
canada : 4
buy : 4
borders : 4
border : 4
body : 4
western : 3
west : 3
volcano : 3
tell : 3
superman : 3
summer : 3
subway : 3
store : 3
sometimes : 3
seas : 3
seaport : 3
santa : 3
said : 3
runs : 3
rule : 3
rome : 3
romans : 3
rider : 3
republic : 3
read : 3
produces : 3
pellegrin : 3
pass : 3
palace : 3
page : 3
origin : 3
office : 3
northernmost : 3
nnp : 3
native : 3
nation : 3
names : 3
music : 3
million : 3
men : 3
mediterranean : 3
meaning : 3
maurizio : 3
lives : 3
lived : 3
letter : 3
leading : 3
latin : 3
last : 3
large : 3
landmark : 3
kosovo : 3
kings : 3
kennedy : 3
