how : 492
many : 323
what : 276
when : 136
year : 65
much : 57
long : 56
people : 41
first : 35
take : 31
day : 28
average : 26
world : 23
us : 21
american : 21
population : 20
number : 20
old : 19
war : 18
years : 17
date : 16
cost : 16
make : 15
live : 15
get : 14
last : 13
game : 13
earth : 13
die : 13
born : 13
states : 12
died : 12
big : 12
begin : 12
times : 11
time : 11
percentage : 10
new : 10
money : 10
human : 10
go : 10
far : 10
united : 9
soldiers : 9
one : 9
miles : 9
feet : 9
vietnam : 8
tuberculosis : 8
tall : 8
rate : 8
power : 8
hole : 8
become : 8
air : 8
age : 8
worth : 7
watch : 7
wall : 7
wage : 7
south : 7
nixon : 7
moon : 7
month : 7
minimum : 7
life : 7
countries : 7
children : 7
california : 7
birthday : 7
would : 6
which : 6
where : 6
water : 6
university : 6
travel : 6
salary : 6
randy : 6
president : 6
made : 6
invented : 6
germany : 6
fast : 6
dog : 6
different : 6
craft : 6
cnn : 6
charles : 6
built : 6
body : 6
black : 6
berlin : 6
americans : 6
weight : 5
weigh : 5
week : 5
two : 5
thatcher : 5
state : 5
size : 5
simpsons : 5
run : 5
period : 5
paint : 5
mount : 5
months : 5
mississippi : 5
mile : 5
massachusetts : 5
major : 5
law : 5
korea : 5
information : 5
inches : 5
ice : 5
home : 5
games : 5
found : 5
follow : 5
england : 5
end : 5
eleven : 5
columbia : 5
chemical : 5
chapter : 5
birth : 5
bible : 5
beach : 5
baseball : 5
area : 5
america : 5
2000 : 5
write : 4
work : 4
woman : 4
winter : 4
use : 4
union : 4
unaccounted : 4
typical : 4
types : 4
top : 4
toll : 4
temperature : 4
teaspoon : 4
team : 4
tax : 4
st : 4
species : 4
sides : 4
shea : 4
season : 4
score : 4
say : 4
reactivity : 4
reach : 4
price : 4
presidents : 4
points : 4
player : 4
phone : 4
person : 4
peachy : 4
paid : 4
oat : 4
normal : 4
muffins : 4
men : 4
matter : 4
man : 4
male : 4
los : 4
longest : 4
london : 4
largest : 4
killed : 4
john : 4
inside : 4
income : 4
hitler : 4
high : 4
great : 4
gould : 4
gate : 4
gas : 4
four : 4
fathom : 4
eruption : 4
equal : 4
eggs : 4
drugs : 4
dick : 4
death : 4
current : 4
could : 4
colors : 4
code : 4
clark : 4
china : 4
calories : 4
bridge : 4
boxing : 4
board : 4
blood : 4
bastille : 4
angeles : 4
amount : 4
album : 4
ago : 4
ages : 4
1991 : 4
votes : 3
verses : 3
used : 3
universe : 3
unemployment : 3
uk : 3
twins : 3
tristar : 3
trip : 3
triangle : 3
trial : 3
tree : 3
tokyo : 3
three : 3
texas : 3
television : 3
symbol : 3
swimming : 3
sun : 3
students : 3
still : 3
statistics : 3
start : 3
spent : 3
speed : 3
space : 3
soviet : 3
small : 3
silver : 3
shuttle : 3
seven : 3
setting : 3
second : 3
screenplay : 3
school : 3
runs : 3
river : 3
richard : 3
revolution : 3
released : 3
queen : 3
project : 3
production : 3
produce : 3
prince : 3
pounds : 3
pound : 3
popular : 3
pope : 3
played : 3
planted : 3
place : 3
perfect : 3
per : 3
penis : 3
pellegrin : 3
paso : 3
painting : 3
olympic : 3
odds : 3
national : 3
nadia : 3
must : 3
murder : 3
monopoly : 3
meters : 3
members : 3
member : 3
maurizio : 3
married : 3
manufactured : 3
longitude : 3
light : 3
latitude : 3
languages : 3
kuwait : 3
king : 3
jaws : 3
james : 3
jack : 3
independent : 3
hot : 3
history : 3
group : 3
golf : 3
gold : 3
france : 3
founded : 3
folic : 3
fly : 3
flight : 3
fined : 3
find : 3
fare : 3
expectancy : 3
every : 3
europe : 3
erected : 3
equivalent : 3
elephant : 3
electoral : 3
el : 3
dollar : 3
distance : 3
digits : 3
degrees : 3
deep : 3
de : 3
daily : 3
cream : 3
convicted : 3
complete : 3
comaneci : 3
college : 3
coffee : 3
coast : 3
civil : 3
city : 3
christmas : 3
child : 3
century : 3
carter : 3
cards : 3
car : 3
called : 3
broadcast : 3
brain : 3
bowling : 3
bottle : 3
bond : 3
benny : 3
baking : 3
attack : 3
artist : 3
art : 3
around : 3
allowed : 3
adult : 3
acid : 3
1990 : 3
10 : 3
worked : 2
wonder : 2
wings : 2
wind : 2
win : 2
who : 2
white : 2
went : 2
web : 2
visit : 2
vineyard : 2
victoria : 2
vhf : 2
vatican : 2
varieties : 2
varian : 2
van : 2
vagina : 2
vacuum : 2
usa : 2
url : 2
typist : 2
type : 2
tv : 2
trivial : 2
tomato : 2
today : 2
ticket : 2
thomas : 2
third : 2
test : 2
tenpin : 2
ten : 2
telephone : 2
target : 2
takes : 2
system : 2
surface : 2
student : 2
stone : 2
stock : 2
stevie : 2
steven : 2
steal : 2
starting : 2
started : 2
stars : 2
star : 2
standard : 2
stamp : 2
sport : 2
spielberg : 2
spend : 2
spears : 2
speak : 2
span : 2
spain : 2
spaces : 2
