the 3744
what 3376
is 1670
of 1541
in 1198
how 789
was 652
who 612
to 601
are 452
for 451
and 413
does 390
did 387
do 334
many 332
name 330
on 319
where 285
first 199
when 190
can 189
you 187
world 165
us 164
from 159
which 147
by 134
that 133
country 133
most 129
an 126
with 125
as 121
have 120
city 119
has 111
why 105
there 99
it 97
people 91
were 87
get 87
find 86
be 86
at 86
called 84
his 82
state 81
year 78
president 75
american 75
war 74
mean 74
two 73
largest 72
fear 69
new 68
made 67
much 65
long 64
between 64
its 61
origin 57
word 56
used 53
tv 53
company 53
movie 52
about 52
kind 51
film 51
famous 50
one 47
known 47
take 46
day 46
stand 44
or 44
game 44
your 43
make 43
live 43
invented 43
best 43
all 43
book 42
up 41
time 41
john 40
he 40
color 40
play 39
only 39
man 39
into 39
wrote 38
come 38
their 37
term 37
states 37
out 37
show 36
last 36
countries 36
south 35
named 35
my 35
america 35
won 34
not 34
home 34
team 33
star 33
old 33
number 33
if 33
had 33
difference 33
character 33
call 33
baseball 33
use 32
river 32
english 32
king 31
after 31
died 30
born 30
work 29
three 29
song 29
said 29
played 29
novel 29
information 29
highest 29
four 29
united 28
some 28
years 27
dog 27
common 27
college 27
capital 27
become 27
average 27
actor 27
will 26
say 26
population 26
names 26
earth 26
body 26
black 26
been 26
actress 26
would 25
water 25
sport 25
mountain 25
located 25
group 25
drink 25
computer 25
california 25
woman 24
top 24
times 24
they 24
than 24
north 24
island 24
food 24
during 24
york 23
space 23
sea 23
school 23
killed 23
go 23
die 23
animal 23
university 22
portrayed 22
popular 22
part 22
over 22
more 22
money 22
history 22
great 22
good 22
way 21
through 21
should 21
makes 21
language 21
her 21
different 21
big 21
title 20
red 20
person 20
national 20
meaning 20
longest 20
internet 20
horse 20
each 20
cities 20
car 20
write 19
west 19
major 19
like 19
leader 19
international 19
general 19
french 19
date 19
created 19
craft 19
cost 19
contains 19
charles 19
became 19
address 19
whose 18
so 18
russian 18
randy 18
place 18
miles 18
line 18
life 18
causes 18
built 18
battle 18
system 17
seven 17
second 17
queen 17
power 17
moon 17
little 17
law 17
ii 17
games 17
found 17
feet 17
features 17
airport 17
abbreviation 17
type 16
someone 16
san 16
park 16
office 16
nickname 16
men 16
me 16
love 16
london 16
letter 16
james 16
human 16
george 16
form 16
following 16
five 16
england 16
death 16
comic 16
colors 16
children 16
british 16
bridge 16
boasts 16
begin 16
air 16
white 15
washington 15
television 15
soft 15
real 15
product 15
player 15
nn 15
nixon 15
letters 15
kennedy 15
japanese 15
islands 15
house 15
hole 15
hit 15
germany 15
european 15
eat 15
disease 15
bowl 15
blood 15
biggest 15
baby 15
area 15
words 14
william 14
st 14
spanish 14
rate 14
ocean 14
no 14
mother 14
member 14
may 14
married 14
league 14
lawyer 14
high 14
held 14
happened 14
female 14
father 14
chemical 14
center 14
business 14
bill 14
animals 14
whom 13
singing 13
served 13
series 13
runs 13
newspaper 13
music 13
lives 13
know 13
ice 13
hitler 13
definition 13
christmas 13
building 13
before 13
age 13
web 12
tuberculosis 12
tree 12
travel 12
tell 12
super 12
store 12
sports 12
singer 12
ship 12
radio 12
prime 12
original 12
oldest 12
mississippi 12
minister 12
main 12
indians 12
greek 12
girl 12
far 12
end 12
email 12
dc 12
county 12
cnn 12
civil 12
canada 12
birth 12
being 12
around 12
another 12
africa 12
10 12
win 11
tax 11
story 11
soldiers 11
size 11
see 11
saw 11
role 11
richard 11
produce 11
prize 11
pope 11
percentage 11
other 11
originate 11
once 11
olympic 11
night 11
musical 11
